"",Restated
"",_______________________________________
"",Primary Government (PG)
"",________________
"",Governmental Component
"",Activities Units
"",___________ _________
ASSETS:,""
Cash and cash equivalents . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"$ 5,822,829 $ 2,781,307"
"Investments, including accrued interest . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ","3,353,231 767,541"
Receivables:,""
"Real estate taxes (less allowance for uncollectible amounts of $234,364)  . . . . . . . . . ","370,123 —"
"Federal, State and other aid . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ","8,791,454 —"
Taxes other than real estate . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"4,803,376 —"
Leases . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"— 1,760,040"
Other . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"1,855,033 4,115,866"
"Mortgage loans and interest receivable, net . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ","— 8,606,630"
Inventories . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"296,335 51,693"
Due from PG . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"— 152,879"
Due from component units . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"2,161,477 —"
"Restricted cash, cash equivalents and investments . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ","7,552,155 5,275,488"
Other . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"498,490 280,094"
Capital assets:,""
Land and construction work-in-progress . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"6,405,345 11,862,101"
Other capital assets (net of depreciation/amortization):,""
"Property, plant and equipment (including software) . . . . . . . . . . . . . . . . . . . . . . . . ","31,886,362 25,320,902"
Infrastructure . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"12,218,357 —"
"",_______________________ ___________________
Total assets . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"86,014,567 60,974,541"
"",_______________________ ___________________
DEFERRED OUTFLOWS OF RESOURCES . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"635,161 130,980"
"",_______________________ ___________________
LIABILITIES:,""
Accounts payable and accrued liabilities . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"14,662,150 3,437,165"
Accrued interest payable . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"945,619 142,578"
Unearned revenue . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"3,245 281,781"
Due to PG . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"— 2,161,477"
Due to component units . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"152,879 —"
"Estimated disallowance of Federal, State and other aid . . . . . . . . . . . . . . . . . . . . . . . . . ","1,010,614 —"
Other . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"3,628,009 193,219"
Derivative instruments—interest rate swaps . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"100,884 90,511"
Noncurrent liabilities:,""
